Carne,Nota
202200174,96
202200151,85
202201444,96
201904051,85
202200181,100
202000805,80
202200075,96
202200048,80
202200235,100
202200131,85
202201128,85
202100507,96
202200135,92
202113318,100
202200002,80
202200252,100
202202233,62
202200007,85
202200081,85
202001361,60
202200003,60
201709173,80
202100204,76
202201724,65
202210009,80
202200110,100
202100509,85
202203009,60
202201130,100
202201336,92
202010511,80
202207551,80
202207595,72
202200141,96
202206560,90
202200035,60
202200100,77
202100081,85
202200231,80
202111456,89
202106364,80
201901509,80
202201318,96
202200061,76
202108307,96
202201131,100
202004071,80
202003536,85
202200314,80
202110531,84
202201211,64
202202072,80
202201989,100
201800967,58
202200033,100
202200309,100
202200057,100
202102651,80
202201461,88
202100171,85
202200331,80
202202182,80
201903009,80
202204496,57
202203361,100
202201457,100
202201213,80
202200119,80
202200089,92
202101146,100
202111460,86
202106435,100
202202906,92
201700816,96
201907177,80
202202882,96
202202696,61
202200031,80
201610975,100
202103763,100
202003654,100
202101616,60
202100113,60
202004730,80
202100312,80
202201405,80
202104727,70
202106651,80
202100167,100
202001816,80
202006658,80
202100044,85
202200392,100
