Carne,Nota
202200174,84.17
202200003,93.75
201904051,85
202001361,90
202202906,93.75
202106651,77.5
202200235,95
202200048,89.17
202000805,92.08
202200007,100
202004071,87.5
201901509,75.42
201700816,83.75
202200002,95
201907177,100
202200033,91.25
202201131,83.75
202010511,95
202100167,86.67
202203361,100
202201128,98.33
202110531,94.17
202200075,82.5
202101616,80
202200231,82.08
202200081,88.75
202200252,95
201610975,100
202100204,91.67
202200151,92.5
202200131,71.25
202201444,100
202210009,90
202201318,93.75
202100081,85
202204496,90
202200061,97.5
202201130,93.75
202201211,98.75
202200392,90
202111456,100
202206560,93.75
202201724,73.75
202201405,75.42
202200135,87.5
202202072,80.42
202200181,85
202202182,90
202201336,90.42
202202882,100
202100509,95
202100171,90
202200331,72.92
202113318,95
202200141,67.5
202200119,97.92
202200309,100
201903009,95
202102651,76.25
202100507,88.75
202200035,75.83
202200057,85.42
202200089,75.42
202201213,82.92
202201457,83.33
202202696,78.33
202201989,100
202100113,74.58
202200314,86.25
202207551,90
202101146,73.75
202106435,87.92
202106364,95
202004730,90
202200031,73.75
202203009,83.75
202200100,89.58
202006658,77.92
202207595,66.25
202201461,96.25
202103763,90
202200110,80.42
202104727,67.08
202100044,66.67
201709173,71.67
202003536,76.67
201800967,92.5
202003654,79.17
202100312,83.33
202001816,81.25
