Carne,Nota
202200007,70
202200392,79.92
202207551,89.23
202204496,52.46
202200061,96.23
202113318,76.46
202200151,90
202200100,80
202004071,70.69
202200181,61.46
201709173,44.46
202100113,55.46
202200309,98
202101616,61
201800967,74.69
202200141,92.92
202010511,90
202200081,52.46
202200035,87.46
202001361,52.69
202200075,81
202200131,80
202200003,87.23
202200119,83.46
202003536,83.46
202201318,88.23
202110531,94.23
202202233,63.65
202203361,94
202210009,95
202201131,91.23
202200174,92.23
202108307,88.46
202202182,100
202000805,77.46
202201211,90.23
202201444,96.23
202201989,89.23
202201405,83.23
202100081,78.23
202200135,90
202201128,97.23
202106651,78.69
202200314,80
202201130,99.23
202200331,78
201700816,50.69
202202072,65
202201213,80
202100204,91.46
202200033,80
202101146,89.23
202111460,89.46
202202882,100
202100171,90
202202906,98
202206560,100
202111456,84.23
201901509,70
202100312,80
202207595,95.23
202103763,66.23
202201336,81.5
202200057,82.46
202200089,97.69
202200110,90.69
202200252,85
202004730,98.46
202200235,99.23
202201457,100
202100507,81
202100509,78.69
202200048,84.23
201904051,61.23
202003654,62.46
202202696,100
201610975,55
202102651,74.23
202006658,63.46
201907177,77.23
201212764,2
202203009,77
202201461,95.46
202106435,37.46
202100044,43
202200002,71.23
202103527,48.46
202201724,74
