Carne,Nota
202200174,38
202200048,7
202200392,78
202004071,40
202200309,67
202201128,75
202204496,79
202200151,82.5
202200141,86
202201336,50.5
202000805,77.5
202200331,15
202202906,75.5
202201130,87
202200002,83
202200235,52.5
202200033,37
202200100,45
201700816,58
202202696,76
202200007,90
202206560,62.5
202010511,72
202202072,20
202201213,15
202100509,30.5
202200081,70
202202182,78
202201989,45
202201211,75
202200119,55
202100171,80
202201444,73
202106435,47
202202233,62.5
202200061,75
202207595,84.5
202200035,59.5
202004730,35
202100507,0
202210009,42.5
202200110,79
202200057,52.5
202200089,72.5
202111460,50
202201131,47
202200231,60
202001816,27.5
202200131,72
202200075,67.5
202200135,50
202100081,75
202100204,88
202103527,19
202113318,0
202201724,60
202203009,67.5
202201461,63
202201405,67
202003536,77
202203361,70
202200003,79
202101616,38
202207551,77
202111456,30
202200252,83
202200181,60
202202882,73
202103763,35
202102651,15
202104727,70
201904051,42
202100113,39
202100312,10
202201457,57
202101146,75
202001361,14
202200031,36
202200314,40
201314405,15
202003654,30.5
202106364,5
202108307,50
202100167,50
201800967,14
202110531,64
202201318,46
201212764,0
202006658,5
