Carne,Nota
202200075,87
202111460,92
202200174,100
202200100,100
202200392,98
202202072,100
202200135,97
202200048,100
202200007,100
202111456,94
202200231,66
202200033,98
202200119,94
201709173,92
202200181,100
202200252,96
202200151,85
202206560,100
201901509,100
202001361,79
202202233,98
202203009,100
202201336,96
202010511,100
202201128,87
202100507,86
202100509,89
202201724,100
202200002,100
202200309,100
202101616,98
202201444,100
202203361,100
202202696,88
202201461,93
201800967,95
202202882,100
202200235,100
202104727,90
202100113,100
202200110,100
202000805,98
202106651,100
202004071,76
202201989,100
202200061,98
201904051,100
202201211,100
202201131,86
202200057,100
202108307,89
202210009,100
202100204,89
202200131,98
202201213,100
202004730,100
202202182,100
202100044,98
202103527,100
202200141,98
202200331,92
202200035,100
202103035,92
202204496,96
202201318,100
202200314,100
202100167,63
202101146,88
201906792,100
202103763,100
202106364,100
202202906,100
202100171,100
202207551,98
202201130,91
202200089,91
202102651,100
202100081,100
202200003,100
202100312,100
202106435,92
202201457,100
202200081,98
201610975,98
202110531,100
201700816,95
202200031,98
201314405,89
202207595,100
201212764,50
202003654,79
201903009,100
201907177,100
202201405,100
202003536,95
202006658,83
202001816,100
