Carne,Nota
202200007,95
202201128,77
202200151,100
202206560,75
202202906,86
202207595,76
202200131,87
202004071,83
202100204,95
202202233,98
202200309,80
202111460,85
201700816,100
202106651,96
202200081,63
202200031,100
202000805,45
202202072,100
202201213,90
201907177,100
202201336,80
202201131,100
202200075,90
202200119,100
202200110,100
202200057,100
202200089,100
202200035,90
202200135,91
202200100,80
202201405,50
202202696,67
202200033,100
202113318,75
202210009,76
202100044,65
202202182,90
201901509,43
202201444,100
202201211,100
202100081,97
202202882,80
201709173,80
202201989,100
201800967,75
202201457,80
202004730,49
202001816,100
202200235,100
202207551,100
202200331,87
202200003,100
202200252,100
202201318,100
202200002,95
202110531,100
202103527,95
202200181,67
202003536,95
202200174,62
202200048,60
202200231,95
202200392,100
202200061,85
202201130,70
202204496,80
202111456,95
202203009,100
202201461,95
202102651,77
202200314,80
202201724,88
202100113,80
202106435,75
202104727,85
202100171,60
202100509,90
202203361,88
202106364,100
202010511,90
202006658,50
202101146,63
202100507,100
202101616,58
201904051,100
201610975,80
202200141,57
201314405,100
202100312,52
201903009,0
